condition,therapeuticarea,summary,purpose,gender,age,status,cwid,modified,sponsor,phase
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,"An observational, multi-center study to evaluate the safety of deferasirox in the treatment of pediatric patients with non-transfusion-dependent iron overload.",The purpose of this observational study is to provide further assessment of the safety of deferasirox in NTDT pediatric patients with documented iron overload as defined in a local product label.,"",Both Male and Female,10 to 18 Years,210600,"",Recruiting,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,"Immunogenicity and Safety Study of GSK Biologicals' Priorix® Vaccine (209762) at an End of Shelf-life Potency Compared to Merck & Co., Inc.'s MMR Vaccine When Both Are Given on a 2-dose Schedule to Healthy Children in Their 2nd Year of Life","The purpose of this study is to evaluate end of shelf-life potency in terms of the immunogenicity and safety of GSK Biologicals' trivalent MMR vaccine, by comparing it to Merck & Co., Inc.'s MMR vaccine, which is approved for use in the United States (US).",Both Male and Female,12 to 15 Months,Recruiting,203178,"",GlaxoSmithKline,3
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,"Methodology Study of Novel Electrophysiological, Physical, and Imaging Outcome Measures to Assess the Progression of Amyotrophic Lateral Sclerosis",This study will assess a set of potential outcome measures to determine their relative utility for incorporation into future ALS POC studies.,"",Both Male and Female,18 to 80 Years,210930,"",Recruiting,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,"ANBL1221: A Phase II Randomized Trial of Irinotecan/Temozolomide With Temsirolimus (NSC# 683864, IND# 61010) or Chimeric 14.18 Antibody (ch14.18) (NSC# 623408, IND# 4308) in Children With Refractory, Relapsed or Progressive Neuroblastoma","CW ID: 191857
Date Last Changed:  May 23, 2014","",Both Male and Female,N/A,191857,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,Intergroup Trial for Children or Adolescents With B-Cell NHL or B-AL: Evaluation of Rituximab Efficacy and Safety in High Risk Patients,"CW ID: 191864
Date Last Changed:  May 23, 2014","",Both Male and Female,N/A,191864,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,Do you have a child between 6 and 36 months?,"Researchers are inviting you and your child to participate in a study to look at how your child moves, how they react to different situations, and how they are learning. This study will use the Bayley test, a standardized test designed to show us how your child is developing in several areas including communication, movement, play skills, and social and self-help skills. Participation will take between one and two hours.","",Both Male and Female,6 to 36 Months,215118,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,Families needed to participate in study on parent-adolescent relationships,Researchers from the University of Kentucky Department of Family Studies are conducting a research study to learn more about parent-adolescent communication.,"",Both Male and Female,12 to 18 Years,176170,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,Kids Helping Kids,"Researchers at the University of Kentucky are conducting a study in boys and girls 2-4 years of age to develop a new body composition assessment tool. There will be no blood draws (no needles), no medications given and all procedures are safe.","",Both Male and Female,2 to 4 Years,177241,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,Pediatric Cold Sores,"The purpose of this study is to see whether Xerese is safe and tolerable for children ages 6 to 11 years old who get cold sores, but are otherwise healthy.",Both Male and Female,6 to 11 Years,Recruiting,184528,"",,3
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,HIV Vaccine,Optimal Research is now recruiting healthy adults between the ages of 18 and 50 years for an investigational HIV vaccine study.,"",Both Male and Female,18 to 50 Years,209235,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,"A Washington University research study seeks children, 6 to 6 years old.",Healthy participants under the age of 16 are needed to help compare the biomarkers of patients with inflammatory bowel disease (IBD). Results from this study might help to aid in better treatment and diagnosis of IBD.,"",Both Male and Female,6 to 16 Years,216948,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,A Washington University research study seeks healthy participants for an autism study.,"The goal of the study is to learn how autism spectrum disorder influences the development of joint attention and shared engagement during infancy and toddler-hood. There is 1 study visit that lasts about 2 hours. There will be questionnaires, eye tracking and diffuse optical tomography (DOT) scan. Possible risks and benefits will be discussed with volunteers as part of the informed consent process. $40 cash is provided for time and effort.","",Both Male and Female,12 to 24 Months,215458,"",,
Healthy Children Studies,Pediatrics/Neonatology Healthy Volunteers,A Washington University research study seeks healthy children.,"Dr. Andrew Belden is conducting a study to see how the brains of healthy preschoolers are different from those of preschoolers suffering from depression. There are 3 study visits (2 hours each) over the course of 13 weeks. There is an MRI scan, EEG, behavioral testing and parent self-report. Up to $180.00 is provided for time and effort. Risks and benefits will be discussed as part of the informed consent process (IRB # 201312072).","",Both Male and Female,4 to 6 Years,213677,"",,
